date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2018/1/2,sh.600004,14.73,14.85,14.59,14.8,14.7,13127900,193508326,3,0.634406,1,0.680275,0
2018/1/3,sh.600004,14.84,14.84,14.65,14.8,14.8,15046954,222055580,3,0.727145,1,0,0
2018/1/4,sh.600004,14.75,14.78,14.54,14.62,14.8,18563569,271737272,3,0.897085,1,-1.216218,0
2018/1/5,sh.600004,14.6,14.67,14.48,14.57,14.62,11979532,174297478,3,0.578911,1,-0.341999,0
2018/1/8,sh.600004,14.68,14.69,14.41,14.5,14.57,16492258,239516323,3,0.796989,1,-0.480437,0
2018/1/9,sh.600004,14.46,15.03,14.37,15.02,14.5,21186005,312458529,3,1.023815,1,3.58621,0
2018/1/10,sh.600004,15.02,15.02,14.71,14.85,15.02,17674001,262194308,3,0.854097,1,-1.131825,0
2018/1/11,sh.600004,14.68,14.93,14.68,14.69,14.85,10981364,162262894,3,0.530675,1,-1.077446,0
2018/1/12,sh.600004,14.68,15.03,14.64,14.95,14.69,17402475,258716172,3,0.840975,1,1.769913,0
2018/1/15,sh.600004,14.9,15.59,14.83,15.4,14.95,33936533,520366317,3,1.639984,1,3.010032,0
2018/1/16,sh.600004,15.32,15.87,15.32,15.83,15.4,29974451,469740225,3,1.448517,1,2.79221,0
2018/1/17,sh.600004,15.8,15.9,15.38,15.68,15.83,18631368,290662786,3,0.900362,1,-0.947565,0
2018/1/18,sh.600004,15.6,16.08,15.56,15.86,15.68,15433621,244845462,3,0.74583,1,1.147955,0
2018/1/19,sh.600004,15.86,16.05,15.63,15.76,15.86,14899530,236123314,3,0.72002,1,-0.630513,0
2018/1/22,sh.600004,15.77,16,15.52,15.96,15.76,13056478,205710388,3,0.630955,1,1.269034,0
2018/1/23,sh.600004,15.9,16.55,15.9,16.49,15.96,19417939,317270193,3,0.938373,1,3.3208,0
2018/1/24,sh.600004,16.36,16.8,16.26,16.75,16.49,21905059,362896205,3,1.058563,1,1.576715,0
2018/1/25,sh.600004,16.66,16.66,16.18,16.44,16.75,15224843,250022134,3,0.735741,1,-1.850743,0
2018/1/26,sh.600004,16.49,16.66,16.27,16.53,16.44,11883909,195677853,3,0.57429,1,0.547446,0
2018/1/29,sh.600004,16.52,16.64,16.17,16.48,16.53,19815000,324558161,3,0.957561,1,-0.302487,0
2018/1/30,sh.600004,16.35,16.69,16.23,16.62,16.48,15204022,251955286,3,0.734735,1,0.849522,0
2018/1/31,sh.600004,16.41,17,16.29,16.9,16.62,16252045,271772664,3,0.785381,1,1.68471,0
2018/2/1,sh.600004,16.98,17.25,16.55,16.77,16.9,18814840,318455014,3,0.909228,1,-0.769226,0
2018/2/2,sh.600004,16.58,17.3,16.09,17.22,16.77,20182601,337333239,3,0.975325,1,2.683356,0
2018/2/5,sh.600004,16.78,17.41,16.6,17.15,17.22,23345851,397108324,3,1.128189,1,-0.406502,0
2018/2/6,sh.600004,16.55,16.88,16.17,16.2,17.15,29526124,484236643,3,1.426851,1,-5.539352,0
2018/2/7,sh.600004,16.57,16.63,15.31,15.49,16.2,25909388,411557112,3,1.252072,1,-4.382722,0
2018/2/8,sh.600004,15.5,15.79,15.1,15.37,15.49,15033867,231487876,3,0.726512,1,-0.774693,0
2018/2/9,sh.600004,14.9,15.06,14,14.9,15.37,36118023,531786995,3,1.745405,1,-3.057907,0
2018/2/12,sh.600004,14.9,15.48,14.83,15.32,14.9,12120357,184193683,3,0.585717,1,2.818793,0
2018/2/13,sh.600004,15.45,16.09,15.45,15.61,15.32,13573885,214452309,3,0.655959,1,1.89295,0
2018/2/14,sh.600004,15.79,16.09,15.48,15.93,15.61,10124497,160323910,3,0.489267,1,2.049972,0
2018/2/22,sh.600004,16.15,16.67,16.04,16.58,15.93,10427022,171275489,3,0.503886,1,4.080349,0
2018/2/23,sh.600004,16.65,16.65,16.21,16.49,16.58,9203697,151012543,3,0.444769,1,-0.542824,0
2018/2/26,sh.600004,16.48,17.15,16.47,17,16.49,14437622,244010865,3,0.697699,1,3.092785,0
2018/2/27,sh.600004,17.05,17.17,16.6,16.65,17,8544690,143501260,3,0.412923,1,-2.058826,0
2018/2/28,sh.600004,16.6,16.6,16.19,16.37,16.65,10039075,164408151,3,0.485139,1,-1.681674,0
2018/3/1,sh.600004,16.3,16.52,16.24,16.36,16.37,5939912,97434465,3,0.287046,1,-0.061089,0
2018/3/2,sh.600004,16.29,16.36,16.05,16.19,16.36,6348477,102907705,3,0.30679,1,-1.03912,0
2018/3/5,sh.600004,16.12,16.41,16.11,16.17,16.19,5713811,92837108,3,0.27612,1,-0.123536,0
2018/3/6,sh.600004,16.3,16.33,15.73,16.31,16.17,9920998,159088452,3,0.479433,1,0.865797,0
2018/3/7,sh.600004,16.32,16.35,15.88,15.97,16.31,7125420,114876216,3,0.344336,1,-2.084606,0
2018/3/8,sh.600004,16.02,16.17,15.9,16.15,15.97,5373444,86146194,3,0.259672,1,1.127109,0
2018/3/9,sh.600004,16.17,16.43,16.15,16.3,16.15,8153400,132800621,3,0.394013,1,0.92879,0
2018/3/12,sh.600004,16.29,16.57,16.26,16.5,16.3,10818460,178065821,3,0.522803,1,1.226999,0
2018/3/13,sh.600004,16.45,16.58,16.1,16.13,16.5,8581168,139807564,3,0.414685,1,-2.242429,0
2018/3/14,sh.600004,16.14,16.14,15.85,15.94,16.13,6317731,100719763,3,0.305305,1,-1.177927,0
2018/3/15,sh.600004,15.91,16.15,15.87,15.99,15.94,4955745,79244962,3,0.239487,1,0.313677,0
2018/3/16,sh.600004,16,16.2,15.9,15.93,15.99,3977509,63719814,3,0.192213,1,-0.375231,0
2018/3/19,sh.600004,15.9,15.9,15.7,15.82,15.93,5517563,87126243,3,0.266636,1,-0.690525,0
2018/3/20,sh.600004,15.72,15.95,15.7,15.87,15.82,4136883,65497943,3,0.199915,1,0.316057,0
2018/3/21,sh.600004,15.87,15.99,15.81,15.83,15.87,5396018,85828469,3,0.260763,1,-0.252048,0
2018/3/22,sh.600004,15.83,15.93,15.45,15.54,15.83,9583178,149391543,3,0.463107,1,-1.831964,0
2018/3/23,sh.600004,15.01,15.38,14.88,15.23,15.54,12757897,193592668,3,0.616526,1,-1.994855,0
2018/3/26,sh.600004,15.18,15.38,14.92,15.23,15.23,10683027,161363420,3,0.516258,1,0,0
2018/3/27,sh.600004,15.36,15.73,15.36,15.61,15.23,9583308,149324771,3,0.463114,1,2.495076,0
2018/3/28,sh.600004,15.4,15.68,14.99,15.06,15.61,12360697,188992183,3,0.597331,1,-3.523378,0
